age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Male,United-States,>50K
"[0,50)",Private,Any,Any,Any,Any,Any,America,>50K
Any,Private,Any,Any,Any,In-family,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
"[0,50)",Private,Any,Any,Any,In-family,Male,United-States,>50K
"[0,50)",Private,Any,Any,Any,Any,Any,United-States,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Secondary,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,United-States,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,>50K
"[30,40)",Private,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Male,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Any,Any,Any,Any,Any,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,White-collar,Any,Any,United-States,<=50K
Any,Private,Any,Married,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
"[0,50)",Private,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married,Any,Any,Any,Any,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Male,United-States,>50K
Any,Any,Any,Married,Any,Any,Any,America,<=50K
Any,Any,Post-secondary,Any,Any,Any,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,In-family,Any,Any,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,North-America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Private,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Private,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Married,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Post-secondary,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Male,United-States,>50K
Any,Any,Any,Any,Any,In-family,Any,United-States,>50K
"[0,50)",Private,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Married,Any,Any,Any,United-States,>50K
Any,Private,Any,Any,Any,Any,Any,Any,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Private,Any,Any,Any,In-family,Any,United-States,>50K
Any,Any,Any,Married,Any,Any,Any,United-States,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Private,Any,Any,Any,In-family,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Post-secondary,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,Any,Male,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,North-America,<=50K
Any,Any,Any,Married,Any,Any,Any,United-States,>50K
Any,Private,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Married,Any,Any,Any,Any,<=50K
"[0,50)",Any,Post-secondary,Any,Any,Any,Any,United-States,>50K
Any,Any,Senior-Secondary,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,In-family,Any,Any,<=50K
"[0,50)",Any,Post-secondary,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Male,United-States,<=50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,Any,In-family,Any,United-States,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Any,Any,Any,In-family,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Married,Any,Any,Any,United-States,>50K
Any,Any,Any,Married,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Male,United-States,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,North-America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Post-secondary,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Male,United-States,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married,Any,Any,Any,America,>50K
Any,Private,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,America,<=50K
Any,Private,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Male,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Married,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,North-America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,White-collar,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,America,>50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Male,Any,>50K
Any,Any,Any,Married-civ-spouse,Any,Any,Any,America,>50K
Any,Any,Any,Married,Any,Any,Any,Any,>50K
Any,Private,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Married,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Male,America,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,Any,<=50K
Any,Private,Any,Any,Any,Any,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
Any,Private,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Any,Secondary,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,>50K
Any,Private,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Male,United-States,<=50K
"[0,50)",Any,Without-Post-Secondary,Any,Any,Any,Any,Any,<=50K
Any,Private,Any,Any,Any,Any,Any,America,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,North-America,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married,Any,Any,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,In-family,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Post-secondary,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Married,Any,Any,Any,Any,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
"[0,50)",Any,Post-secondary,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,Any,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Private,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,Any,>50K
Any,Private,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Male,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Married,Any,Any,Any,Any,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,Any,>50K
Any,Any,Any,Never-married,White-collar,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,America,>50K
Any,Any,Any,Any,Any,Any,Any,Any,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Married,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Any,Any,America,<=50K
"[0,50)",Private,Senior-Secondary,Any,Any,In-family,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
